epoch,training accuracy,training loss,training error,validation accuracy,validation loss,validation error,learning rate,time,test accuracy,test loss,test error
1,0.1481,4.1612,1.9186,0.1370,4.1160,1.8748,0.0100000,5742,,,
2,0.0530,4.7393,1.9713,0.0515,4.4429,1.9619,0.0100000,12048,,,
3,0.0821,4.4782,1.9576,0.0822,4.2754,1.9495,0.0100000,18078,,,
4,0.0826,4.4728,1.9580,0.0822,4.2725,1.9501,0.0100000,25310,,,
5,0.0813,4.1217,1.9432,0.0822,4.2756,1.9477,0.0100000,32536,,,
6,0.0750,4.4273,1.9515,0.0784,4.2556,1.9458,0.0100000,39325,,,
7,0.1005,3.7046,1.8922,0.0822,4.1068,1.8968,0.0100000,45662,,,
8,0.0885,3.8319,1.9222,0.1178,3.9668,1.9238,0.0100000,52496,,,
9,0.0870,3.7394,1.9259,0.0822,3.9763,1.9294,0.0100000,58900,,,
10,0.0835,3.8199,1.9270,0.1178,3.9715,1.9285,0.0100000,65303,0.1178,3.9715,1.9285
11,0.0850,4.0936,1.9423,0.1178,3.9734,1.9321,0.0100000,71458,,,
12,0.0887,3.8916,1.9229,0.1178,3.9689,1.9267,0.0100000,77592,,,
13,0.0878,4.2018,1.9365,0.1180,3.9684,1.9267,0.0100000,83875,,,
14,0.0914,3.6488,1.9108,0.1178,3.9648,1.9234,0.0100000,90444,,,
