epoch,training accuracy,training loss,training error,validation accuracy,validation loss,validation error,learning rate,time,test accuracy,test loss,test error
1,0.4063,0.0000,0.1170,0.6124,0.0000,0.0980,0.0000100,1,,,
2,0.6341,0.0000,0.0933,0.6376,0.0000,0.0946,0.0000100,1,,,
3,0.7201,0.0000,0.0789,0.6596,0.0000,0.0906,0.0000100,1,,,
4,0.7902,0.0000,0.0563,0.6898,0.0000,0.0862,0.0000100,2,,,
5,0.8261,0.0000,0.0535,0.7209,0.0000,0.0810,0.0000100,2,,,
6,0.8538,0.0000,0.0619,0.7510,0.0000,0.0756,0.0000100,3,,,
7,0.8743,0.0000,0.0490,0.7821,0.0000,0.0699,0.0000100,3,,,
8,0.8781,0.0000,0.0447,0.8303,0.0000,0.0645,0.0000100,4,,,
9,0.8945,0.0000,0.0631,0.8604,0.0000,0.0595,0.0000100,4,,,
10,0.9048,0.0000,0.0530,0.8855,0.0000,0.0551,0.0000100,5,0.8614,0.0000,0.0578
11,0.9125,0.0000,0.0551,0.9106,0.0000,0.0516,0.0000100,5,,,
12,0.9214,0.0000,0.0553,0.9277,0.0000,0.0494,0.0000100,5,,,
13,0.9206,0.0000,0.0480,0.9367,0.0000,0.0478,0.0000100,6,,,
14,0.9163,0.0000,0.0351,0.9357,0.0000,0.0463,0.0000100,6,,,
15,0.9279,0.0000,0.0596,0.9428,0.0000,0.0453,0.0000100,6,,,
16,0.9211,0.0000,0.0732,0.9508,0.0000,0.0451,0.0000100,7,,,
17,0.9253,0.0000,0.0498,0.9538,0.0000,0.0443,0.0000100,7,,,
18,0.9343,0.0000,0.0452,0.9558,0.0000,0.0443,0.0000100,7,,,
19,0.9264,0.0000,0.0515,0.9618,0.0000,0.0453,0.0000100,8,,,
20,0.9328,0.0000,0.0406,0.9639,0.0000,0.0454,0.0000100,8,0.9458,0.0000,0.0464
21,0.9393,0.0000,0.0544,0.9598,0.0000,0.0438,0.0000100,8,,,
22,0.9339,0.0000,0.0387,0.9598,0.0000,0.0430,0.0000100,9,,,
23,0.9383,0.0000,0.0482,0.9588,0.0000,0.0420,0.0000100,9,,,
24,0.9373,0.0000,0.0523,0.9629,0.0000,0.0429,0.0000100,10,,,
25,0.9355,0.0000,0.0432,0.9618,0.0000,0.0421,0.0000100,10,,,
26,0.9352,0.0000,0.0478,0.9558,0.0000,0.0402,0.0000100,10,,,
27,0.9361,0.0000,0.0536,0.9608,0.0000,0.0405,0.0000100,11,,,
28,0.9398,0.0000,0.0299,0.9618,0.0000,0.0401,0.0000100,11,,,
29,0.9417,0.0000,0.0509,0.9568,0.0000,0.0383,0.0000100,11,,,
30,0.9365,0.0000,0.0398,0.9568,0.0000,0.0380,0.0000100,12,0.9518,0.0000,0.0390
31,0.9424,0.0000,0.0415,0.9608,0.0000,0.0378,0.0000100,12,,,
32,0.9439,0.0000,0.0386,0.9618,0.0000,0.0379,0.0000100,12,,,
33,0.9457,0.0000,0.0410,0.9629,0.0000,0.0375,0.0000100,13,,,
34,0.9424,0.0000,0.0368,0.9618,0.0000,0.0365,0.0000100,13,,,
35,0.9419,0.0000,0.0525,0.9639,0.0000,0.0366,0.0000100,13,,,
36,0.9492,0.0000,0.0265,0.9639,0.0000,0.0359,0.0000100,14,,,
37,0.9449,0.0000,0.0352,0.9608,0.0000,0.0347,0.0000100,14,,,
38,0.9440,0.0000,0.0280,0.9618,0.0000,0.0345,0.0000100,15,,,
39,0.9483,0.0000,0.0361,0.9588,0.0000,0.0338,0.0000100,15,,,
40,0.9459,0.0000,0.0429,0.9538,0.0000,0.0330,0.0000100,15,0.9478,0.0000,0.0344
41,0.9478,0.0000,0.0298,0.9578,0.0000,0.0333,0.0000100,16,,,
42,0.9493,0.0000,0.0328,0.9578,0.0000,0.0329,0.0000100,16,,,
43,0.9481,0.0000,0.0414,0.9618,0.0000,0.0332,0.0000100,16,,,
44,0.9470,0.0000,0.0381,0.9649,0.0000,0.0333,0.0000100,17,,,
45,0.9523,0.0000,0.0319,0.9639,0.0000,0.0329,0.0000100,17,,,
46,0.9532,0.0000,0.0486,0.9669,0.0000,0.0335,0.0000100,18,,,
47,0.9504,0.0000,0.0288,0.9699,0.0000,0.0340,0.0000100,18,,,
48,0.9521,0.0000,0.0382,0.9689,0.0000,0.0336,0.0000100,18,,,
49,0.9451,0.0000,0.0485,0.9689,0.0000,0.0331,0.0000100,19,,,
50,0.9548,0.0000,0.0384,0.9719,0.0000,0.0339,0.0000100,19,0.9588,0.0000,0.0346
FINAL TEST,,,,,,,,19,0.9588,0.0000,0.0346
