epoch,training accuracy,training loss,training error,validation accuracy,validation loss,validation error,learning rate,time,test accuracy,test loss,test error
1,0.4693,1.4832,1.3748,0.5461,1.2668,1.1498,0.0010000,2956,,,
2,0.5495,1.3761,1.1742,0.5656,1.2178,1.1299,0.0010000,7261,,,
3,0.6052,0.8491,0.8906,0.5731,1.1713,1.1070,0.0010000,9900,,,
4,0.6326,1.0225,0.8625,0.5907,1.1252,1.0836,0.0010000,13740,,,
5,0.6558,0.9682,0.8791,0.6082,1.0706,1.0569,0.0010000,16008,,,
6,0.6782,0.9514,0.9259,0.6378,1.0080,1.0159,0.0010000,18219,,,
7,0.6849,0.9178,0.8294,0.6693,0.9436,0.9694,0.0010000,20489,,,
8,0.6983,1.0659,1.0073,0.6924,0.8756,0.9148,0.0010000,22650,,,
9,0.7008,0.7042,0.7589,0.7199,0.8070,0.8480,0.0010000,24770,,,
10,0.7148,0.7527,0.7679,0.7405,0.7449,0.7777,0.0010000,27754,0.7441,0.7461,0.7754
11,0.7263,0.7788,0.8028,0.7545,0.6997,0.7111,0.0009044,29818,,,
12,0.7352,0.6346,0.6361,0.7670,0.6666,0.6669,0.0009044,31867,,,
13,0.7370,0.6872,0.6119,0.7725,0.6434,0.6366,0.0009044,33890,,,
14,0.7455,0.6127,0.6172,0.7801,0.6230,0.6138,0.0009044,35900,,,
15,0.7483,0.7788,0.7313,0.7841,0.6092,0.5956,0.0009044,37878,,,
16,0.7547,0.7102,0.6640,0.7921,0.5946,0.5811,0.0009044,39919,,,
17,0.7573,0.6062,0.6983,0.7991,0.5773,0.5646,0.0009044,41932,,,
18,0.7660,0.8030,0.6715,0.7986,0.5704,0.5521,0.0009044,43914,,,
19,0.7604,0.6580,0.6463,0.8036,0.5618,0.5425,0.0009044,46025,,,
20,0.7658,0.5522,0.5453,0.8076,0.5543,0.5351,0.0009044,49469,0.8152,0.5485,0.5286
21,0.7708,0.5950,0.6228,0.8086,0.5434,0.5272,0.0008179,51502,,,
22,0.7781,0.4094,0.5050,0.8171,0.5329,0.5188,0.0008179,53504,,,
23,0.7800,0.7674,0.7083,0.8196,0.5243,0.5117,0.0008179,55582,,,
24,0.7727,0.5501,0.5804,0.8181,0.5195,0.5070,0.0008179,57677,,,
25,0.7822,0.6236,0.6614,0.8196,0.5113,0.4994,0.0008179,59790,,,
26,0.7892,0.4775,0.4808,0.8262,0.5023,0.4925,0.0008179,62003,,,
27,0.7824,0.8173,0.7239,0.8262,0.4990,0.4891,0.0008179,64005,,,
28,0.7873,0.5124,0.5227,0.8287,0.4939,0.4845,0.0008179,66042,,,
29,0.7839,0.7181,0.6301,0.8312,0.4931,0.4807,0.0008179,68331,,,
30,0.7905,0.4215,0.4445,0.8312,0.4886,0.4765,0.0008179,71382,0.8354,0.4924,0.4725
31,0.7909,0.5485,0.5286,0.8342,0.4852,0.4726,0.0007397,73412,,,
32,0.8022,0.5610,0.5436,0.8362,0.4810,0.4675,0.0007397,75451,,,
33,0.7965,0.5494,0.5594,0.8347,0.4774,0.4653,0.0007397,77527,,,
34,0.8023,0.4567,0.5215,0.8387,0.4718,0.4592,0.0007397,79605,,,
35,0.8050,0.7769,0.6575,0.8402,0.4680,0.4557,0.0007397,81860,,,
36,0.8041,0.6632,0.6062,0.8412,0.4697,0.4542,0.0007397,84077,,,
37,0.8038,0.3668,0.3594,0.8422,0.4666,0.4510,0.0007397,86358,,,
38,0.8059,0.4271,0.4631,0.8427,0.4672,0.4495,0.0007397,88526,,,
39,0.8086,0.4174,0.4241,0.8437,0.4658,0.4463,0.0007397,90676,,,
40,0.8124,0.4802,0.5075,0.8467,0.4654,0.4420,0.0007397,94037,0.8472,0.4678,0.4374
41,0.8100,0.3336,0.4025,0.8442,0.4630,0.4388,0.0006690,96183,,,
42,0.8159,0.2888,0.4079,0.8437,0.4632,0.4380,0.0006690,98362,,,
43,0.8150,0.4628,0.4346,0.8462,0.4638,0.4355,0.0006690,100463,,,
44,0.8171,0.7446,0.6568,0.8497,0.4623,0.4343,0.0006690,102687,,,
45,0.8191,0.4675,0.4359,0.8477,0.4601,0.4328,0.0006690,104798,,,
46,0.8164,0.5771,0.5305,0.8527,0.4567,0.4309,0.0006690,106799,,,
47,0.8193,0.4824,0.4858,0.8502,0.4570,0.4287,0.0006690,108858,,,
48,0.8133,0.3577,0.4149,0.8522,0.4532,0.4254,0.0006690,110902,,,
49,0.8137,0.4811,0.4777,0.8532,0.4514,0.4230,0.0006690,112897,,,
50,0.8222,0.5691,0.4908,0.8542,0.4489,0.4230,0.0006690,115772,0.8528,0.4482,0.4221
FINAL TEST,,,,,,,,116675,0.8528,0.4482,0.4221
